complaint_id,precinct,borough,offense_level,offense_type,occurred_at,source
316726782,84,BROOKLYN,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2025-11-27T13:30:00,SOCRATA_qgea-i56i
316727203,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T11:20:00,SOCRATA_qgea-i56i
316727204,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-22T19:13:00,SOCRATA_qgea-i56i
316727774,84,BROOKLYN,FELONY,CRIMINAL MISCHIEF & RELATED OF,2025-11-26T22:00:00,SOCRATA_qgea-i56i
316728295,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-25T15:16:00,SOCRATA_qgea-i56i
316729817,84,BROOKLYN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-11-20T19:30:00,SOCRATA_qgea-i56i
316729818,84,BROOKLYN,FELONY,ROBBERY,2025-11-26T02:55:00,SOCRATA_qgea-i56i
316739739,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-28T10:38:00,SOCRATA_qgea-i56i
316744581,84,BROOKLYN,MISDEMEANOR,SEX CRIMES,2025-11-28T09:35:00,SOCRATA_qgea-i56i
316744582,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-28T09:35:00,SOCRATA_qgea-i56i
316746663,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-28T12:01:00,SOCRATA_qgea-i56i
316748804,84,BROOKLYN,FELONY,CRIMINAL MISCHIEF & RELATED OF,2025-11-26T12:30:00,SOCRATA_qgea-i56i
316750911,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-11-28T16:55:00,SOCRATA_qgea-i56i
316750913,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-11-28T17:23:00,SOCRATA_qgea-i56i
316750914,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-26T22:00:00,SOCRATA_qgea-i56i
316754050,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-24T12:30:00,SOCRATA_qgea-i56i
316754051,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-11-26T19:10:00,SOCRATA_qgea-i56i
316754052,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-28T16:15:00,SOCRATA_qgea-i56i
316757013,84,BROOKLYN,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2025-11-28T11:07:00,SOCRATA_qgea-i56i
316759974,84,BROOKLYN,FELONY,ROBBERY,2025-11-28T21:15:00,SOCRATA_qgea-i56i
316759975,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-11-28T22:47:00,SOCRATA_qgea-i56i
316760260,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-28T16:00:00,SOCRATA_qgea-i56i
316760472,84,BROOKLYN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-11-29T00:05:00,SOCRATA_qgea-i56i
316760473,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-11-28T19:25:00,SOCRATA_qgea-i56i
316760474,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-09T18:50:00,SOCRATA_qgea-i56i
316765918,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T16:26:00,SOCRATA_qgea-i56i
316766293,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T12:40:00,SOCRATA_qgea-i56i
316766294,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T18:49:00,SOCRATA_qgea-i56i
316766560,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-26T23:00:00,SOCRATA_qgea-i56i
316774930,84,BROOKLYN,FELONY,BURGLARY,2025-11-29T09:11:00,SOCRATA_qgea-i56i
316774931,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-29T06:00:00,SOCRATA_qgea-i56i
316776045,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-28T03:20:00,SOCRATA_qgea-i56i
316777273,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-07T11:49:00,SOCRATA_qgea-i56i
316777274,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-28T21:30:00,SOCRATA_qgea-i56i
316777275,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-28T15:00:00,SOCRATA_qgea-i56i
316778644,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-11-29T12:55:00,SOCRATA_qgea-i56i
316780320,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-28T15:01:00,SOCRATA_qgea-i56i
316784006,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-29T13:00:00,SOCRATA_qgea-i56i
316788481,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-29T15:35:00,SOCRATA_qgea-i56i
316791244,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-29T19:49:00,SOCRATA_qgea-i56i
316793733,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-11-29T22:40:00,SOCRATA_qgea-i56i
316794025,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-25T06:14:00,SOCRATA_qgea-i56i
316800096,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-11-22T11:35:00,SOCRATA_qgea-i56i
316800668,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-24T20:00:00,SOCRATA_qgea-i56i
316800670,84,BROOKLYN,MISDEMEANOR,FRAUDS,2025-11-12T10:36:00,SOCRATA_qgea-i56i
316805882,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-11-30T08:08:00,SOCRATA_qgea-i56i
